Error Code,Error Type,Form Name,Packet,Variable Name,Type of Check,Name of the Test,Full Test Description,List of form(s) compared in this test,List of variable(s) compared in this test
a3-ivp-c-095,Error,A3,I - UDS Initial Visit (new participants),SIB3MEVAL,Conformity,SIB3MEVAL conforms,Q2c5. SIB3MEVAL (Sibling 3 method of evaluation) must be an integer between 1 and 4,,
a3-ivp-c-098,Error,A3,I - UDS Initial Visit (new participants),SIB3AGO,Conformity,SIB3AGO conforms,"Q2c6. SIB3AGO (Sibling 3 age of onset of primary dx) must be an integer between 0 and 110, or 999 (unknown)",,
a3-ivp-c-101,Error,A3,I - UDS Initial Visit (new participants),SIB4YOB,Conformity,SIB4YOB conforms,"Q2d1. SIB4YOB (Sibling 4 birth year) must be a year between 1850 and the current year, or =9999 (unknown)",,
a3-ivp-c-104,Error,A3,I - UDS Initial Visit (new participants),SIB4AGD,Conformity,SIB4AGD conditionally blank,"Q2d2. SIB4AGD (Sibling 4 death age) must be an integer between 0 and 110, or =888 (na) or 999 (unknown)",,
a3-ivp-c-107,Error,A3,I - UDS Initial Visit (new participants),SIB4ETPR,Conformity,SIB4ETPR conforms,"Q2d3. SIB4ETPR (Sibling 4 primary dx) must be between 00 and 12, or =99 (unknown)",,
a3-ivp-c-110,Error,A3,I - UDS Initial Visit (new participants),SIB4ETSEC,Conformity,SIB4ETSEC conforms,"Q2d4. SIB4ETSEC (Sibling 4 secondary dx) must be between 00 and 12, or =88 (no secondary dx) or 99 (unknown)",,
a3-ivp-c-113,Error,A3,I - UDS Initial Visit (new participants),SIB4MEVAL,Conformity,SIB4MEVAL conforms,Q2d5. SIB4MEVAL (Sibling 4 method of evaluation) must be an integer between 1 and 4,,
a3-ivp-c-116,Error,A3,I - UDS Initial Visit (new participants),SIB4AGO,Conformity,SIB4AGO conforms,"Q2d6. SIB4AGO (Sibling 4 age of onset of primary dx) must be an integer between 0 and 110, or 999 (unknown)",,
a3-ivp-c-119,Error,A3,I - UDS Initial Visit (new participants),SIB5YOB,Conformity,SIB5YOB conforms,"Q2e1. SIB5YOB (Sibling 5 birth year) must be a year between 1850 and the current year, or =9999 (unknown)",,
a3-ivp-c-122,Error,A3,I - UDS Initial Visit (new participants),SIB5AGD,Conformity,SIB5AGD conditionally blank,"Q2e2. SIB5AGD (Sibling 5 death age) must be an integer between 0 and 110, or =888 (na) or 999 (unknown)",,
a3-ivp-c-125,Error,A3,I - UDS Initial Visit (new participants),SIB5ETPR,Conformity,SIB5ETPR conforms,"Q2e3. SIB5ETPR (Sibling 5 primary dx) must be between 00 and 12, or =99 (unknown)",,
a3-ivp-c-128,Error,A3,I - UDS Initial Visit (new participants),SIB5ETSEC,Conformity,SIB5ETSEC conforms,"Q2e4. SIB5ETSEC (Sibling 5 secondary dx) must be between 00 and 12, or =88 (no secondary dx) or 99 (unknown)",,
a3-ivp-c-131,Error,A3,I - UDS Initial Visit (new participants),SIB5MEVAL,Conformity,SIB5MEVAL conforms,Q2e5. SIB5MEVAL (Sibling 5 method of evaluation) must be an integer between 1 and 4,,
a3-ivp-c-134,Error,A3,I - UDS Initial Visit (new participants),SIB5AGO,Conformity,SIB5AGO conforms,"Q2e6. SIB5AGO (Sibling 5 age of onset of primary dx) must be an integer between 0 and 110, or 999 (unknown)",,
a3-ivp-c-137,Error,A3,I - UDS Initial Visit (new participants),SIB6YOB,Conformity,SIB6YOB conforms,"Q2f1. SIB6YOB (Sibling 6 birth year) must be a year between 1850 and the current year, or =9999 (unknown)",,
a3-ivp-c-140,Error,A3,I - UDS Initial Visit (new participants),SIB6AGD,Conformity,SIB6AGD conditionally blank,"Q2f2. SIB6AGD (Sibling 6 death age) must be an integer between 0 and 110, or =888 (na) or 999 (unknown)",,
a3-ivp-c-143,Error,A3,I - UDS Initial Visit (new participants),SIB6ETPR,Conformity,SIB6ETPR conforms,"Q2f3. SIB6ETPR (Sibling 6 primary dx) must be between 00 and 12, or =99 (unknown)",,
a3-ivp-c-146,Error,A3,I - UDS Initial Visit (new participants),SIB6ETSEC,Conformity,SIB6ETSEC conforms,"Q2f4. SIB6ETSEC (Sibling 6 secondary dx) must be between 00 and 12, or =88 (no secondary dx) or 99 (unknown)",,
a3-ivp-c-149,Error,A3,I - UDS Initial Visit (new participants),SIB6MEVAL,Conformity,SIB6MEVAL conforms,Q2f5. SIB6MEVAL (Sibling 6 method of evaluation) must be an integer between 1 and 4,,
a3-ivp-c-152,Error,A3,I - UDS Initial Visit (new participants),SIB6AGO,Conformity,SIB6AGO conforms,"Q2f6. SIB6AGO (Sibling 6 age of onset of primary dx) must be an integer between 0 and 110, or 999 (unknown)",,
